ID = KBED	TMP ¡ F
1-1-2011 0:56 EST	37
1-1-2011 1:56 EST	35.1
1-1-2011 2:56 EST	34
1-1-2011 3:56 EST	32
1-1-2011 4:56 EST	35.1
1-1-2011 5:56 EST	35.1
1-1-2011 6:56 EST	34
1-1-2011 7:56 EST	35.1
1-1-2011 8:56 EST	37.9
1-1-2011 9:56 EST	44.1
1-1-2011 10:56 EST	48
1-1-2011 11:56 EST	54
1-1-2011 12:56 EST	55.9
1-1-2011 13:56 EST	55
1-1-2011 14:56 EST	57
1-1-2011 15:56 EST	48.9
1-1-2011 16:56 EST	45
1-1-2011 17:56 EST	44.1
1-1-2011 18:56 EST	48
1-1-2011 19:56 EST	48
1-1-2011 20:56 EST	46.9
1-1-2011 21:56 EST	45
1-1-2011 22:35 EST	44.6
1-1-2011 22:56 EST	45
1-1-2011 23:56 EST	46
1-2-2011 0:07 EST	44.6
1-2-2011 0:56 EST	45
1-2-2011 1:15 EST	44.6
1-2-2011 1:56 EST	45
1-2-2011 2:17 EST	44.6
1-2-2011 2:56 EST	45
1-2-2011 3:10 EST	42.8
1-2-2011 3:17 EST	42.8
1-2-2011 3:47 EST	44.6
1-2-2011 3:56 EST	45
1-2-2011 4:56 EST	45
1-2-2011 5:31 EST	44.6
1-2-2011 5:45 EST	42.8
1-2-2011 5:53 EST	42.8
1-2-2011 5:56 EST	43
1-2-2011 6:08 EST	42.8
1-2-2011 6:56 EST	39.9
1-2-2011 7:56 EST	43
1-2-2011 8:56 EST	44.1
1-2-2011 9:18 EST	44.6
1-2-2011 9:43 EST	44.6
1-2-2011 9:56 EST	45
1-2-2011 10:03 EST	44.6
1-2-2011 10:15 EST	42.8
1-2-2011 10:45 EST	44.6
1-2-2011 10:56 EST	46
1-2-2011 11:08 EST	46.4
1-2-2011 11:22 EST	46.4
1-2-2011 11:32 EST	46.4
1-2-2011 11:45 EST	46.4
1-2-2011 11:56 EST	46.9
1-2-2011 12:56 EST	46.9
1-2-2011 13:56 EST	48
1-2-2011 14:28 EST	46.4
1-2-2011 14:42 EST	46.4
1-2-2011 14:56 EST	46.9
1-2-2011 15:56 EST	46
1-2-2011 16:56 EST	45
1-2-2011 17:47 EST	39.2
1-2-2011 17:54 EST	39.2
1-2-2011 17:56 EST	39.9
1-2-2011 18:56 EST	39.9
1-2-2011 19:56 EST	43
1-2-2011 20:56 EST	41
1-2-2011 21:56 EST	39
1-2-2011 22:19 EST	37.4
1-2-2011 22:56 EST	37
1-2-2011 23:56 EST	36
1-3-2011 0:56 EST	33.1
1-3-2011 1:56 EST	32
1-3-2011 2:56 EST	30.9
1-3-2011 3:56 EST	30.9
1-3-2011 4:56 EST	28.9
1-3-2011 5:56 EST	28.9
1-3-2011 6:56 EST	27
1-3-2011 7:56 EST	28
1-3-2011 8:56 EST	28.9
1-3-2011 9:56 EST	30.9
1-3-2011 10:56 EST	32
1-3-2011 11:56 EST	32
1-3-2011 12:56 EST	33.1
1-3-2011 13:56 EST	34
1-3-2011 14:56 EST	33.1
1-3-2011 15:56 EST	32
1-3-2011 16:56 EST	28.9
1-3-2011 17:56 EST	28
1-3-2011 18:56 EST	26.1
1-3-2011 19:56 EST	26.1
1-3-2011 20:56 EST	26.1
1-3-2011 21:56 EST	26.1
1-3-2011 22:56 EST	24.1
1-3-2011 23:56 EST	23
1-4-2011 0:56 EST	23
1-4-2011 1:56 EST	24.1
1-4-2011 2:56 EST	21.9
1-4-2011 3:56 EST	21.9
1-4-2011 4:56 EST	19.9
1-4-2011 5:56 EST	21
1-4-2011 6:56 EST	21
1-4-2011 7:56 EST	21
1-4-2011 8:56 EST	25
1-4-2011 9:56 EST	28.9
1-4-2011 10:56 EST	32
1-4-2011 11:56 EST	34
1-4-2011 12:56 EST	36
1-4-2011 13:56 EST	37
1-4-2011 14:56 EST	37.9
1-4-2011 15:56 EST	36
1-4-2011 16:56 EST	34
1-4-2011 17:56 EST	28
1-4-2011 18:56 EST	25
1-4-2011 19:56 EST	24.1
1-4-2011 20:56 EST	28
1-4-2011 21:56 EST	27
1-4-2011 22:56 EST	19.9
1-4-2011 23:56 EST	18
1-5-2011 0:56 EST	17.1
1-5-2011 1:56 EST	19
1-5-2011 2:56 EST	21
1-5-2011 3:56 EST	24.1
1-5-2011 4:56 EST	19.9
1-5-2011 5:56 EST	19
1-5-2011 6:56 EST	21.9
1-5-2011 7:56 EST	23
1-5-2011 8:56 EST	28
1-5-2011 9:56 EST	32
1-5-2011 10:56 EST	36
1-5-2011 11:56 EST	37
1-5-2011 12:56 EST	36
1-5-2011 13:56 EST	36
1-5-2011 14:56 EST	35.1
1-5-2011 15:56 EST	34
1-5-2011 16:56 EST	32
1-5-2011 17:56 EST	30
1-5-2011 18:56 EST	28.9
1-5-2011 19:56 EST	28
1-5-2011 20:56 EST	27
1-5-2011 21:56 EST	25
1-5-2011 22:56 EST	21.9
1-5-2011 23:56 EST	23
1-6-2011 0:56 EST	21
1-6-2011 1:56 EST	21
1-6-2011 2:56 EST	12.9
1-6-2011 3:56 EST	19
1-6-2011 4:56 EST	19
1-6-2011 5:56 EST	14
1-6-2011 6:56 EST	12
1-6-2011 7:56 EST	15.1
1-6-2011 8:56 EST	21.9
1-6-2011 9:56 EST	26.1
1-6-2011 10:56 EST	28
1-6-2011 11:56 EST	28
1-6-2011 12:56 EST	28
1-6-2011 13:56 EST	28.9
1-6-2011 14:56 EST	30.9
1-6-2011 15:56 EST	30
1-6-2011 16:56 EST	26.1
1-6-2011 17:56 EST	21.9
1-6-2011 18:56 EST	21
1-6-2011 19:56 EST	17.1
1-6-2011 20:56 EST	16
1-6-2011 21:56 EST	12.9
1-6-2011 22:56 EST	12.9
1-6-2011 23:56 EST	10.9
1-7-2011 0:56 EST	10
1-7-2011 1:56 EST	12.9
1-7-2011 2:56 EST	15.1
1-7-2011 3:56 EST	16
1-7-2011 4:56 EST	15.1
1-7-2011 5:56 EST	17.1
1-7-2011 6:56 EST	17.1
1-7-2011 7:56 EST	18
1-7-2011 8:56 EST	21.9
1-7-2011 9:56 EST	26.1
1-7-2011 10:56 EST	28
1-7-2011 11:56 EST	30
1-7-2011 12:56 EST	30.9
1-7-2011 13:56 EST	30.9
1-7-2011 14:46 EST	30.2
1-7-2011 14:56 EST	30.9
1-7-2011 15:32 EST	30.2
1-7-2011 15:56 EST	28.9
1-7-2011 16:22 EST	28.4
1-7-2011 16:56 EST	28.9
1-7-2011 17:37 EST	28.4
1-7-2011 17:48 EST	28.4
1-7-2011 17:56 EST	28.9
1-7-2011 18:15 EST	28.4
1-7-2011 18:23 EST	28.4
1-7-2011 18:56 EST	28.9
1-7-2011 19:56 EST	28
1-7-2011 20:56 EST	26.1
1-7-2011 21:21 EST	26.6
1-7-2011 21:30 EST	26.6
1-7-2011 21:56 EST	26.1
1-7-2011 22:56 EST	27
1-7-2011 23:25 EST	26.6
1-7-2011 23:56 EST	27
1-8-2011 0:56 EST	26.1
1-8-2011 1:56 EST	26.1
1-8-2011 2:44 EST	26.6
1-8-2011 2:56 EST	26.1
1-8-2011 3:56 EST	26.1
1-8-2011 4:56 EST	25
1-8-2011 5:47 EST	24.8
1-8-2011 5:56 EST	24.1
1-8-2011 6:56 EST	24.1
1-8-2011 7:56 EST	24.1
1-8-2011 8:56 EST	24.1
1-8-2011 9:56 EST	25
1-8-2011 10:56 EST	27
1-8-2011 11:56 EST	28
1-8-2011 12:56 EST	28.9
1-8-2011 13:26 EST	30.2
1-8-2011 13:56 EST	30
1-8-2011 14:56 EST	30.9
1-8-2011 15:56 EST	30
1-8-2011 16:56 EST	28.9
1-8-2011 17:56 EST	30
1-8-2011 18:53 EST	30.2
1-8-2011 18:56 EST	30
1-8-2011 19:10 EST	30.2
1-8-2011 19:56 EST	30.9
1-8-2011 20:56 EST	30
1-8-2011 21:56 EST	30
1-8-2011 22:56 EST	28.9
1-8-2011 23:56 EST	28.9
1-9-2011 0:56 EST	28.9
1-9-2011 1:04 EST	28.4
1-9-2011 1:56 EST	30
1-9-2011 2:56 EST	30
1-9-2011 3:16 EST	30.2
1-9-2011 3:56 EST	30
1-9-2011 4:56 EST	30
1-9-2011 5:56 EST	28.9
1-9-2011 6:56 EST	28
1-9-2011 7:56 EST	28
1-9-2011 8:56 EST	28.9
1-9-2011 9:00 EST	28.4
1-9-2011 9:56 EST	30.9
1-9-2011 10:56 EST	32
1-9-2011 11:56 EST	33.1
1-9-2011 12:56 EST	33.1
1-9-2011 13:56 EST	33.1
1-9-2011 14:56 EST	33.1
1-9-2011 15:56 EST	30.9
1-9-2011 16:56 EST	28.9
1-9-2011 17:56 EST	28.9
1-9-2011 18:56 EST	27
1-9-2011 19:56 EST	26.1
1-9-2011 20:56 EST	25
1-9-2011 21:56 EST	24.1
1-9-2011 22:56 EST	24.1
1-9-2011 23:56 EST	23
