	 tmpf 
1-1-18 0:00 EDT	M
1-1-18 0:05 EDT	M
1-1-18 0:10 EDT	M
1-1-18 0:15 EDT	M
1-1-18 0:20 EDT	M
1-1-18 0:25 EDT	M
1-1-18 0:30 EDT	M
1-1-18 0:35 EDT	M
1-1-18 0:40 EDT	M
1-1-18 0:45 EDT	M
1-1-18 0:50 EDT	M
1-1-18 0:55 EDT	M
1-1-18 0:56 EDT	3.9
1-1-18 1:00 EDT	M
1-1-18 1:05 EDT	M
1-1-18 1:10 EDT	M
1-1-18 1:15 EDT	M
1-1-18 1:20 EDT	M
1-1-18 1:25 EDT	M
1-1-18 1:30 EDT	M
1-1-18 1:35 EDT	M
1-1-18 1:40 EDT	M
1-1-18 1:45 EDT	M
1-1-18 1:50 EDT	M
1-1-18 1:55 EDT	M
1-1-18 1:56 EDT	1
1-1-18 2:00 EDT	M
1-1-18 2:05 EDT	M
1-1-18 2:10 EDT	M
1-1-18 2:15 EDT	M
1-1-18 2:20 EDT	M
1-1-18 2:25 EDT	M
1-1-18 2:30 EDT	M
1-1-18 2:35 EDT	M
1-1-18 2:40 EDT	M
1-1-18 2:45 EDT	M
1-1-18 2:50 EDT	M
1-1-18 2:55 EDT	M
1-1-18 2:56 EDT	3
1-1-18 3:00 EDT	M
1-1-18 3:05 EDT	M
1-1-18 3:10 EDT	M
1-1-18 3:15 EDT	M
1-1-18 3:20 EDT	M
1-1-18 3:25 EDT	M
1-1-18 3:30 EDT	M
1-1-18 3:35 EDT	M
1-1-18 3:40 EDT	M
1-1-18 3:45 EDT	M
1-1-18 3:50 EDT	M
1-1-18 3:55 EDT	M
1-1-18 3:56 EDT	3
1-1-18 4:00 EDT	M
1-1-18 4:05 EDT	M
1-1-18 4:10 EDT	M
1-1-18 4:15 EDT	M
1-1-18 4:20 EDT	M
1-1-18 4:25 EDT	M
1-1-18 4:30 EDT	M
1-1-18 4:35 EDT	M
1-1-18 4:40 EDT	M
1-1-18 4:45 EDT	M
1-1-18 4:50 EDT	M
1-1-18 4:55 EDT	M
1-1-18 4:56 EDT	1.9
1-1-18 5:00 EDT	M
1-1-18 5:05 EDT	M
1-1-18 5:10 EDT	M
1-1-18 5:15 EDT	M
1-1-18 5:20 EDT	M
1-1-18 5:25 EDT	M
1-1-18 5:30 EDT	M
1-1-18 5:35 EDT	M
1-1-18 5:40 EDT	M
1-1-18 5:45 EDT	M
1-1-18 5:50 EDT	M
1-1-18 5:55 EDT	M
1-1-18 5:56 EDT	1
1-1-18 6:00 EDT	M
1-1-18 6:05 EDT	M
1-1-18 6:10 EDT	M
1-1-18 6:20 EDT	M
1-1-18 6:25 EDT	M
1-1-18 6:30 EDT	M
1-1-18 6:35 EDT	M
1-1-18 6:40 EDT	M
1-1-18 6:45 EDT	M
1-1-18 6:50 EDT	M
1-1-18 6:55 EDT	M
1-1-18 6:56 EDT	0
1-1-18 7:00 EDT	M
1-1-18 7:05 EDT	M
1-1-18 7:10 EDT	M
1-1-18 7:15 EDT	M
1-1-18 7:20 EDT	M
1-1-18 7:25 EDT	M
1-1-18 7:30 EDT	M
1-1-18 7:35 EDT	M
1-1-18 7:40 EDT	M
1-1-18 7:45 EDT	M
1-1-18 7:50 EDT	M
1-1-18 7:55 EDT	M
1-1-18 7:56 EDT	-2
1-1-18 8:00 EDT	M
1-1-18 8:05 EDT	M
1-1-18 8:10 EDT	M
1-1-18 8:15 EDT	M
1-1-18 8:20 EDT	M
1-1-18 8:25 EDT	M
1-1-18 8:30 EDT	M
1-1-18 8:35 EDT	M
1-1-18 8:40 EDT	M
1-1-18 8:45 EDT	M
1-1-18 8:50 EDT	M
1-1-18 8:55 EDT	M
1-1-18 8:56 EDT	-2
1-1-18 9:00 EDT	M
1-1-18 9:05 EDT	M
1-1-18 9:10 EDT	M
1-1-18 9:15 EDT	M
1-1-18 9:20 EDT	M
1-1-18 9:25 EDT	M
1-1-18 9:30 EDT	M
1-1-18 9:35 EDT	M
1-1-18 9:40 EDT	M
1-1-18 9:45 EDT	M
1-1-18 9:50 EDT	M
1-1-18 9:55 EDT	M
1-1-18 9:56 EDT	-2.9
1-1-18 10:00 EDT	M
1-1-18 10:05 EDT	M
1-1-18 10:10 EDT	M
1-1-18 10:15 EDT	M
1-1-18 10:20 EDT	M
1-1-18 10:25 EDT	M
1-1-18 10:30 EDT	M
1-1-18 10:35 EDT	M
1-1-18 10:40 EDT	M
1-1-18 10:45 EDT	M
1-1-18 10:50 EDT	M
1-1-18 10:55 EDT	M
