General Information													Condition 1 Performance - (47¡F/70¡F)										Condition 2 Performance - (17¡F/70¡F)										Condition 3 Performance - (5¡F/70¡F)*										Pan Heater Data				OPTIONAL Condition 4 Performance - (X¡F/70¡F)*									
Manufacturer	Brand	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	Variable Capacity	HSPF (Region IV):	SEER	EER (@ 95¡F)	ENERGY STAR Certified	Ductless or Ducted	Multi-zone or Single-zone?		Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (¡F)	Capacity (btu/hr)			Input Power (kW)			COP		
													Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum		Maximum	Minimum		Maximum	Minimum		Maximum							Minimum		Maximum	Minimum		Maximum	Minimum		Maximum
American Standard		6749789	4A6V0024A1	*AM8C0B30V21	Yes	10	19.25	13.75	Yes	Ducted	N/A		"7,800"	"20,200"	"21,900"	0.50	1.64	1.56	4.58	3.61	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		N/A				N/A		z							
American Standard		6992577	4A6V0036A1	*AM8C0B30V21	Yes	10	20	13	Yes	Ducted	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.64		3.16	1.86		1.86		N/A				N/A		z							
American Standard		7599436	4A6V0036A1	*AM8C0C48V41	Yes	10	20.75	13.5	Yes	Ducted	N/A		"8,400"	"33,800"	"32,800"	0.50	2.83	2.38	4.92	3.50	4.04		"15,820"	"25,400"	"25,700"	1.78	3.10	3.12	2.60	2.40	2.42		"16,548"		"19,800"	2.54		3.00	1.90		1.94		N/A				N/A		z							
American Standard		7125570	4A6V0036A1	*UHMB060ACV3 4TXCB004CC3	Yes	10	18.5	12.5	Yes	Ducted	N/A		"8,500"	"31,000"	"33,500"	0.55	2.93	2.73	4.52	3.10	3.60		"16,150"	"26,000"	"26,300"	1.98	3.46	3.51	2.38	2.20	2.20		"16,934"		"20,300"	2.82		3.36	1.76		1.78		N/A				N/A		z							
American Standard		6796524	4A6V0036A1	*UD2C080ACV4 4TXCC007CC3	Yes	10	20	13	Yes	Ducted	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.35	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		N/A				N/A		z							
American Standard		6796526	4A6V0036A1	*UD2C100ACV5 4TXCC007CC3	Yes	10	20	13	Yes	Ducted	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.59	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		N/A				N/A		z							
American Standard		7125572	4A6V0036A1	*DHMB060BCV3 4TXFH036CZ3	Yes	10	19.5	12.5	Yes	Ducted	N/A		"8,300"	"30,800"	"33,200"	0.52	2.82	2.65	4.68	3.20	3.68		"16,150"	"25,800"	"26,100"	1.94	3.44	3.41	2.44	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		N/A				N/A		z							
American Standard		6796528	4A6V0036A1	*UD2C080ACV4 4TXFH036CZ3	Yes	10	20	13	Yes	Ducted	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.51	4.74	3.20	3.78		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		N/A				N/A		z							
American Standard		7125571	4A6V0036A1	*UHMB060ACV3 4TXFH036CZ3	Yes	10	18.75	12.5	Yes	Ducted	N/A		"8,300"	"30,400"	"32,700"	0.56	2.87	2.68	4.34	3.10	3.58		"15,930"	"25,600"	"25,900"	1.96	3.41	3.45	2.38	2.20	2.20		"16,788"		"20,040"	2.78		3.32	1.76		1.76		N/A				N/A		z							
