DISCLAIMER- Some of the performance values reported as part of the Cold-Climate ASHP Specification are NOT derived from industry standard test procedures or third-party tested/verified (i.e. performance values at 5°F).  Performance in some instances may be represented by manufacturer’s engineering data.																																																																				
Products added to list since during current month																																																																				
"Products in grey are the ones not found in the AHRI database as of June 12, 2017."																																																																				
General Information																Condition 1 Performance - (47°F/70°F)										Condition 2 Performance - (17°F/70°F)										Condition 3 Performance - (5°F/70°F)*													Pan Heater Data				OPTIONAL Condition 4 Performance - (X°F/70°F)*															
																Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP												Capacity (btu/hr)			Input Power (kW)			COP								
"Updated: July 14, 2017"																																																																				
Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
American Standard	American Standard	AccuComfort Platinum 20	10093446	4A6V0024A1	TAM9A0B30V31	HRCU-A-CB	10.00	19.25	13.75	24200	Yes	Centrally Ducted	N/A	N/A		8000	20200	21300	0.54	2.60	1.51	4.34	2.28	4.14		11430	17100	17100	1.21	2.60	1.93	2.76	1.93	2.60		11036		12920	1.62		1.86	2.00		2.05		61%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	10093447	4A6V0036A1	TAM9A0B30V31	HRCU-A-CB	10.00	20.00	13.00	35400	Yes	Centrally Ducted	N/A	N/A		8600	32600	21300	0.54	2.42	1.60	4.66	3.95	3.90		16040	26200	26600	1.82	2.42	3.22	2.58	3.17	2.42		16748		20220	2.58		3.08	1.90		1.90		95%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	10093448	4A6V0036A1	TAM9A0C36V31	HRCU-A-CB	10.00	21.00	13.50	35000	Yes	Centrally Ducted	N/A	N/A		8500	33400	21600	0.52	2.38	1.55	4.78	4.11	4.08		15820	25800	26100	1.83	2.38	3.22	2.54	3.18	2.38		16448		19860	2.58		3.08	1.86		1.90		92%	76%																					
American Standard	American Standard	AccuComfort Platinum 20	10093449	4A6V0036A1	TAM9A0C42V41	HRCU-A-CB	10.00	21.00	13.50	35600	Yes	Centrally Ducted	N/A	N/A		8400	33600	21400	0.51	2.20	1.57	4.82	4.47	4.00		15600	24800	25200	1.90	2.20	3.36	2.40	3.30	2.20		16242		19440	2.70		3.22	1.76		1.75		91%	77%																					
American Standard	American Standard	AccuComfort Platinum 20	10093452	4A6V0048A1	TAM9A0C60V51	HRCU-A-CB	10.00	19.50	12.50	46500	Yes	Centrally Ducted	N/A	N/A		12000	43000	42700	0.78	2.26	3.56	4.50	5.57	3.52		22630	35600	36100	2.65	2.26	4.67	2.50	4.62	2.26		23644		28140	3.74		4.46	1.86		1.85		66%	78%																					
American Standard	American Standard	AccuComfort Platinum 18	10093454	4A6V8024A1	TAM9A0B30V31	HRCU-A-CB	10.00	18.00	13.00	23800	Yes	Centrally Ducted	N/A	N/A		8000	20000	21000	0.54	2.60	1.55	4.34	2.25	3.96		11430	17100	17100	1.21	2.60	1.93	2.76	1.93	2.60		11036		12920	1.62		1.86	2.00		2.05		62%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	10093455	4A6V8024A1	TAM9A0C36V31	HRCU-A-CB	10.00	18.00	13.00	24000	Yes	Centrally Ducted	N/A	N/A		8000	21000	21400	0.54	2.52	1.52	4.34	2.44	4.12		11320	16900	16900	1.23	2.52	1.96	2.70	1.96	2.52		10830		12780	1.64		1.90	1.94		1.95		60%	76%																					
American Standard	American Standard	AccuComfort Platinum 18	10093456	4A6V8036A1	TAM9A0B30V31	HRCU-A-CB	10.00	18.00	12.50	34400	Yes	Centrally Ducted	N/A	N/A		8400	32000	43900	0.53	2.40	3.45	4.64	3.91	3.72		16370	26600	26800	1.84	2.40	3.27	2.60	3.25	2.40		17340		20760	2.60		3.12	1.96		1.95		47%	77%																					
