Cook Home Fuel Usage			
Heat source: Natural Gas			
Year	Date	$$	SCF
2000	11/30/00	78.22 	5600
	12/31/00	163.42 	11700
2001	1/31/01	167.61 	12000
	2/28/01	108.95 	7800
	3/31/01	94.98 	6800
	4/30/01	54.47 	3900
	5/31/01	13.97 	1000
	6/30/01	8.38 	600
	7/31/01	0.00 	0
	8/31/01	0.00 	0
	9/30/01	0.00 	0
	10/31/01	9.78 	700
	11/30/01	61.46 	4400
	12/31/01	75.43 	5400
2002	1/31/02	129.90 	9300
	2/28/02	101.97 	7300
	3/31/02	82.41 	5900
	4/30/02	29.33 	2100
	5/31/02	29.33 	2100
	6/30/02	2.79 	200
	7/31/02	0.00 	0
	8/31/02	0.00 	0
	9/30/02	2.79 	200
	10/31/02	69.84 	5000
	11/30/02	114.54 	8200
	12/31/02	138.28 	9900
2003	1/31/03	178.79 	12800
	2/28/03	177.39 	12700
	3/31/03	89.39 	6400
	4/30/03	79.62 	5700
	5/31/03	36.32 	2600
	6/30/03	12.57 	900
	7/31/03	1.40 	100
	8/31/03	0.00 	0
	9/30/03	0.00 	0
	10/31/03	57.27 	4100
	11/30/03	100.57 	7200
	12/31/03	142.47 	10200
2004	1/31/04	185.77 	13300
	2/29/04	155.04 	11100
	3/31/04	97.78 	7000
	4/30/04	68.44 	4900
	5/31/04	22.35 	1600
	6/30/04	11.17 	800
	7/31/04	0.00 	0
	8/31/04	0.00 	0
	9/30/04	0.00 	0
	10/31/04	37.71 	2700
	11/30/04	86.60 	6200
	12/31/04	157.84 	11300
2005	1/31/05	191.36 	13700
	2/28/05	157.84 	11300
	3/31/05	122.92 	8800
	4/30/05	71.24 	5100
	5/31/05	29.33 	2100
	6/30/05	8.38 	600
	7/31/05	2.79 	200
	8/31/05	1.40 	100
	9/30/05	0.00 	0
	10/31/05	36.32 	2600
	11/30/05	94.98 	6800
	12/31/05	156.44 	11200
2006	1/31/06	142.47 	10200
	2/28/06	143.87 	10300
	3/31/06	101.97 	7300
	4/30/06	43.30 	3100
	5/31/06	25.14 	1800
	6/30/06	4.19 	300
	7/31/06	0.00 	0
	8/31/06	2.79 	200
	9/30/06	1.40 	100
	10/31/06	48.89 	3500
	11/30/06	78.22 	5600
	12/31/06	125.71 	9000
2007	1/31/07	142.47 	10200
	2/28/07	173.20 	12400
	3/31/07	117.33 	8400
	4/30/07	82.41 	5900
	5/31/07	16.76 	1200
	6/30/07	2.79 	200
	7/31/07	0.00 	0
	8/31/07	4.19 	300
	9/30/07	0.00 	0
	10/31/07	9.78 	700
	11/30/07	103.36 	7400
	12/31/07	159.23 	11400
2008	1/31/08	138.28 	9900
	2/29/08	149.46 	10700
	3/31/08	100.57 	7200
	4/30/08	46.09 	3300
	5/31/08	11.17 	800
	6/30/08	1.40 	100
	7/31/08	0.00 	0
	8/31/08	11.17 	800
	9/30/08	23.75 	1700
	10/31/08	61.46 	4400
	11/30/08	125.71 	9000
	12/31/08	174.60 	12500
2009	1/31/09	205.33 	14700
	2/28/09	152.25 	10900
	3/31/09	110.35 	7900
	4/30/09	75.43 	5400
	5/31/09	36.32 	2600
	6/30/09	26.54 	1900
	7/31/09	22.35 	1600
	8/31/09	15.36 	1100
	9/30/09	33.52 	2400
	10/31/09	60.06 	4300
	11/30/09	85.20 	6100
	12/31/09	171.81 	12300
2010	1/31/10	191.36 	13700
	2/28/10	171.81 	12300
	3/31/10	101.97 	7300
	4/30/10	53.08 	3800
	5/31/10	36.32 	2600
	6/30/10	26.54 	1900
	7/31/10	18.16 	1300
	8/31/10	22.35 	1600
	9/30/10	26.54 	1900
	10/31/10	53.08 	3800
	11/30/10	82.41 	5900
	12/31/10	162.03 	11600
2011	1/31/11	198.34 	14200
	2/28/11	173.20 	12400
	3/31/11	148.06 	10600
	4/30/11	85.20 	6100
	5/31/11	43.30 	3100
	6/30/11	33.52 	2400
	7/31/11	26.54 	1900
	8/31/11	22.35 	1600
	9/30/11	29.33 	2100
	10/31/11	39.11 	2800
	11/30/11	106.16 	7600
	12/31/11	118.73 	8500
2012	1/31/12	177.39 	12700
	2/29/12	132.70 	9500
	3/31/12	104.76 	7500
	4/30/12	65.65 	4700
	5/31/12	43.30 	3100
	6/30/12	25.14 	1800
	7/31/12	23.75 	1700
	8/31/12	16.76 	1200
	9/30/12	23.75 	1700
	10/31/12	51.68 	3700
	11/30/12	100.57 	7200
	12/31/12	120.12 	8600
2013	1/31/13	169.01 	12100
	2/28/13	141.08 	10100
	3/31/13	128.50 	9200
	4/30/13	71.24 	5100
	5/31/13	32.13 	2300
	6/30/13	15.36 	1100
	7/31/13	11.17 	800
	8/31/13	18.16 	1300
	9/30/13	19.56 	1400
	10/31/13	41.21 	2950
	11/30/13	92.19 	6600
	12/31/13	145.27 	10400
2014	1/31/14	176.00 	12600
	2/28/14	162.03 	11600
	3/31/14	149.46 	10700
	4/30/14	78.22 	5600
	5/31/14	34.92 	2500
	6/30/14	18.16 	1300
	7/31/14	19.56 	1400
	8/31/14	15.36 	1100
	9/30/14	15.36 	1100
	10/31/14	30.73 	2200
	11/30/14	83.81 	6000
	12/31/14	117.33 	8400
2015	1/31/15	187.17 	13400
	2/28/15	162.03 	11600
	3/31/15	124.31 	8900
	4/30/15	60.06 	4300
	5/31/15	20.95 	1500
	6/30/15	22.35 	1600
	7/31/15	27.94 	2000
