Default residence oil deliveries.			
			
Year	Date	$$	Gallons
2005	11/19/05	$0.00	112
	12/19/05	$0.00	112
2006	1/20/06	$0.00	104
	3/8/06	$0.00	184
	7/6/06	$326.40	145
	11/24/06	$0.00	77
2007	1/19/07	$424.35	174.7
	2/24/07	$0.00	180.3
	4/19/07	$0.00	148.4
	10/25/07	$0.00	94.9
	12/29/07	$530.57	158.9
2008	2/12/08	$0.00	159.8
	4/18/08	$640.38	160.1
	10/30/08	$267.51	89.2
	12/31/08	$0.00	61.6
2009	1/10/09	$0.00	148
	2/18/09	$340.02	147.9
	5/29/09	$322.64	145.4
	11/20/09	$286.56	109
2010	1/7/10	$0.00	137.5
	3/9/10	$609.34	217.7
	8/27/10	$0.00	129.3
	12/16/10	$417.94	135.3
2011	2/3/11	$0.00	191.3
	4/1/11	$0.00	145.8
	10/3/11	$391.01	113.7
	12/27/11	$583.18	160.7
2012	2/17/12	$692.07	177.5
	6/11/12	$463.31	142.6
	11/23/12	$345.78	91.5
2013	1/19/13	$377.62	99.4
	3/9/13	$472.37	126
	3/26/15	$0.00	
