Gillis residence oil deliveries

Heat source: Fuel Oil

Year	Date	 $$     Gallons
2014	11/06/14	481.9	158
	12/10/14	552.05	181
2015	1/08/15	375.35	184.4
	2/03/15	459.62	219.6
	3/02/15	634.82	239.6
	4/01/15	358.8	179.4
	6/11/15	274.09	126
	10/15/15	166.58	96.4
	12/04/15	255.73	164.1
2016	1/12/16	243.20	192.5
	2/03/16	189.75	147.7
	2/25/16	182.42	140
	3/31/16	193.27	137.5
	6/01/16	192.67	111.4
	10/18/16	139.55	80.9
	12/01/16	276.69	160.4
	12/22/16	265.65	154
2017	1/16/17	264.1	153.1
	2/07/17	222.35	128.9
	3/10/17	279.97	162.3
	4/07/17	260.13	150.8