JR residence oil deliveries.			
Heat source: Fuel Oil
			
Year	Date	$$	Gallons
2000	10/25/00	$213.97 	143.7
	12/4/00	$234.09 	153.1
	12/30/00	$260.39 	170.3
2001	1/29/01	$300.30 	196.4
	2/27/01	$253.00 	174.6
	4/6/01	$237.69 	174.9
	7/26/01	$148.73 	117.2
	11/15/01	$154.66 	134.6
	12/31/01	$216.19 	193.2
2002	1/30/02	$180.49 	161.3
	3/7/02	$214.74 	191.9
	5/1/02	$221.63 	186.4
	9/18/02	$147.32 	123.9
	11/22/02	$208.56 	169.7
	12/23/02	$252.11 	189.7
2003	1/16/03	$231.53 	165.5
	2/8/03	$303.97 	190.1
	3/4/03	$341.81 	190
	4/10/03	$279.41 	186.4
	6/25/03	$157.90 	122.5
	10/20/03	$139.99 	108.6
	12/6/03	$263.14 	198
	12/31/03	$245.90 	169.7
2004	1/19/04	$278.82 	180
	2/9/04	$299.49 	187.3
	3/8/04	$261.87 	166.9
	4/15/04	$301.95 	200.1
	7/28/04	$204.13 	130.1
	10/30/04	$226.53 	111.1
	12/8/04	$270.89 	141.9
2005	1/4/05	$357.77 	188.4
	1/26/05	$351.22 	173.1
	2/22/05	$365.02 	179.9
	3/22/05	$362.21 	162.5
	5/18/05	$286.14 	134.4
	10/25/05	$336.36 	133
	12/5/05	$316.50 	130.3
2006	1/6/06	$435.03 	179.1
	2/16/06	$508.88 	209.5
	3/24/06	$482.40 	198.6
	6/13/06	$390.99 	147.6
	11/20/06	$393.98 	162.2
2007	1/3/07	$429.93 	177
	2/5/07	$418.91 	188.7
	3/5/07	$431.98 	185.4
	4/17/07	$431.87 	180.7
	9/10/07	$332.54 	127.9
	11/29/07	$474.28 	155.5
	12/31/07	$568.64 	177.7
2008	2/2/08	$573.14 	187.3
	3/11/08	$595.78 	168.3
	4/23/08	$711.87 	183
	9/19/08	$428.94 	129.2
	11/25/08	$309.97 	131.9
2009	1/10/09	$496.70 	238.8
	2/2/09	$300.55 	145.9
	3/10/09	$311.86 	175.2
	6/23/09	$375.29 	164.9
	11/24/09	$460.29 	179.8
	12/24/09	$395.20 	152
2010	1/13/10	$337.29 	123.1
	2/9/10	$373.74 	150.7
	3/19/10	$402.44 	148.5
	7/3/10	$355.18 	135.1
	12/15/10	$462.84 	151.8
2011	1/10/11	$462.79 	146.5
	2/4/11	$572.30 	164.5
	3/4/11	$606.95 	158.1
	4/5/11	$519.74 	133.3
	6/7/11	$299.12 	80
	11/8/11	$525.53 	138.7
	12/6/11	$438.72 	121.9
2012	1/8/12	$644.12 	170.9
	2/17/12	$609.80 	156.4
	4/2/12	$567.11 	146.2
	7/17/12	$356.92 	102.3
	11/7/12	$452.50 	120.7
	12/7/12	$464.22 	125.5
2013	1/8/13	$670.65 	177
	2/1/13	$491.39 	128
	3/5/13	$700.92 	184.5
	4/16/13	$610.84 	167.4
	8/12/13	$356.67 	100.5
	11/6/13	$386.17 	107.3
	12/4/13	$702.92 	186.5
2014	1/4/14	$559.51 	143.3
	1/30/14	$692.23 	173.1
	2/21/14	$532.93 	133.6
	3/21/14	$600.45 	154
	5/12/14	$495.01 	130.3
	10/2/14	$286.32 	83.5
	11/25/14	$408.72 	125.8
	12/24/14	$387.17 	129.1
2015	1/21/15	$457.26 	160.5
	2/14/15	$503.53 	167.9
	3/9/15	$423.97 	135.5
	4/21/15	$430.76 	153.9
