MJ residence gas deliveries.			
Heat source: Natural Gas
			
Year	Date	$$	SCF
2015	3/25/15	277.53	21000
	4/24/15	131.56 	9700
	5/27/15	55.40 	5000
	6/24/15	30.19 	2800
	7/27/15	18.64 	1100
	8/25/15	12.83 	500
	9/24/15	20.82 	1700
	10/23/15	54.09 	6600
	11/23/15	129.39 	10500
	12/22/15	204.37 	15700
2016	1/26/16	351.65 	27500
	2/23/16	274.75 	21400
	3/25/16	193.99 	15000
	4/26/16	158.96 	12200
	5/26/16	73.86 	6900
	6/28/16	34.02 	2700
	7/27/16	15.26 	700
	8/24/16	16.52 	900
	9/23/16	25.12 	1500
	10/25/16	79.48 	6200
	11/23/16	158.90 	11500
	12/23/16	286.36 	20900
2017	1/25/17	318.17 	23400
	2/23/17	315.07 	22200
	3/24/17	275.72 	19200
	4/26/17	200.43 	13800
	5/24/17	79.65 	6700
	6/26/17	50.31 	3800
	7/25/17	18.66 	900
	8/25/17	21.94 	1200
	9/25/17	27.64 	1800
	10/26/17	54.03 	4700
	11/22/17	178.37 	11700
	12/23/17	328.81 	21100
2018	1/25/18	479.12 	30800
	2/23/18	322.54 	19000
