Slade residence oil deliveries.			
Heat source: Fuel Oil
			
Year	Date	$$	Gallons
2009	1/12/09	248	99.6
	2/7/09	224.6	90.2
	3/17/09	201.98	88.2
	5/20/09	110.66	49.4
	10/15/09	200.67	74.6
	12/11/09	210.92	75.6
2010	1/11/10	290.16	100.4
	2/11/10	276	95.5
	4/2/10	248.54	86
	8/25/10	162.53	59.1
	11/19/10	208.16	68.7
	12/28/10	329.18	101.6
2011	2/7/11	482.5	134.4
	4/20/11	574.65	140.5
	12/14/11	620.24	161.1
2012	2/21/12	682.84	172
	10/12/12	523.78	138.2
2013	1/4/13	608.4	156.4
	3/5/13	671.33	169.1
	8/29/13	461.07	122.3
	12/6/13	427.14	113.3
2014	1/16/14	532.77	134.2
	3/7/14	692.44	169.3
	7/8/14	379.24	101.4
	12/10/14	473.76	144
2015	1/29/15	419.18	147.6
	3/10/15	468.72	148.8
	6/3/15	235.54	81.5
