S Jones Home Oil Usage
Heat source: Fuel Oil
Year	Date	$$	Gallons
2016	1/26/16	448.8	149.6
	2/25/16	333.3	111.1
	3/25/16	213	71
	5/5/16	194.4	64.8
	8/1/16	109.2	36.4
	11/12/16	243	81
	12/15/16	285.3	95.1
2017	1/23/17	390	130
	2/23/17	369	123
	3/27/17	304.5	101.5
	5/5/17	155.1	51.7
	7/22/17	129.3	43.1
2018	2/2/18	244.5	81.5
	3/1/18	234.6	78.2
	4/11/18	323.4	107.8
	9/4/18	221.7	73.9
	12/3/18	419.43	135.3
2019	1/24/19	591.12	197.7
	3/8/19	461.96	154.5
	4/17/19	255.65	85.5
	6/24/19	0	52.6
